UNIT,CHIPLET,RELEASED_WA_PATH,RTL_TAG,RELEASE_TYPES,RELEASE_USER,RELEASE_TIMESTAMP
hiopl,HIOPL,/home/scratch.yshlush_vlsi/hiopl/hiopl_condb_int1_52_2r1/export/export_icc2,"export_icc2","STA,FCL",yshlush,2025/07/28 08:46:49,/home/agur_backend_blockRelease/block/hiopl/hiopl_condb_int1_52_2r1__2025_7_28_8_46_49
ioplca,HIOPL,/home/scratch.ysapojnikov_vlsi/ioplca/ioplca_rbv_2024_03_17_starling_LO_fe_silver_new_flp_ref_final_2,"starling_LO_fe_silver_new_flp_ref","STA,FCL",ysapojnikov,2025/03/25 16:54:53,/home/agur_backend_blockRelease/block/ioplca/ioplca_rbv_2024_03_17_starling_LO_fe_silver_new_flp_ref_final_2__2025_3_25_16_54_53
ioplcb,HIOPL,/home/scratch.maximkr_vlsi/starling/ioplcb/ioplcb_rbv_2024_03_17_starling_LO_fe_silver_PD_fix_ref_uphy,"starling_LO_fe_silver_PD","STA,FCL",maximkr,2025/03/15 08:54:54,/home/agur_backend_blockRelease/block/ioplcb/ioplcb_rbv_2024_03_17_starling_LO_fe_silver_PD_fix_ref_uphy__2025_3_15_8_54_54
ioplcc,HIOPL,/home/scratch.roir_vlsi_1/starling/ioplcc/ioplcc_rbv_2024_03_17_starling_LO_fe_silver_NewUphy,"starling_LO_fe_silver_NewUphy","STA,FCL",roir,2025/03/17 14:02:53,/home/agur_backend_blockRelease/block/ioplcc/ioplcc_rbv_2024_03_17_starling_LO_fe_silver_NewUphy__2025_3_17_14_2_53
ioplcd,HIOPL,/home/scratch.ysapojnikov_vlsi/ioplcd/ioplcd_rbv_2024_03_17_starling_LO_fe_silver_ref_new_flp_2,"starling_LO_fe_silver_ref_new_flp_2","STA,FCL",ysapojnikov,2025/07/08 11:56:00,/home/agur_backend_blockRelease/block/ioplcd/ioplcd_rbv_2024_03_17_starling_LO_fe_silver_ref_new_flp_2__2025_7_8_11_56_0
fdb,CPORT,/home/scratch.dkolesnikov_vlsi/agur/fdb/1NL/fdb_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap__floorplanChange_run1,"fdb_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR",dkolesnikov,2025/11/12 09:47:58,/home/agur_backend_blockRelease/block/fdb/fdb_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap__floorplanChange_run1__2025_11_12_9_47_58
fth,CPORT,/home/scratch.lmustafa_vlsi/agur/fth/fth_rbv_2025_09_22_condb_int3_2025_08_27_0_1NL_snap_new_tplanner_ref_run,"fth_rbv_2025_09_22_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR",lmustafa,2025/11/12 12:55:33,/home/agur_backend_blockRelease/block/fth/fth_rbv_2025_09_22_condb_int3_2025_08_27_0_1NL_snap_new_tplanner_ref_run__2025_11_12_12_55_33
lnd,CPORT,/home/scratch.shlomoc_vlsi/agur/lnd/run_29_09_2025_lnd_rbv_2025_09_26_trex_response_tag_065,"lnd_rbv_2025_09_26_trex_response_tag","STA,FCL",shlomoc,2025/11/16 22:01:15,/home/agur_backend_blockRelease/block/lnd/run_29_09_2025_lnd_rbv_2025_09_26_trex_response_tag_065__2025_11_16_22_1_15
pmux,CPORT,/home/scratch.brachas_vlsi/agur/1NL/pmux/pmux_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_sep10,"pmux_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL",brachas,2025/11/12 09:44:36,/home/agur_backend_blockRelease/block/pmux/pmux_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_sep10__2025_11_12_9_44_36
prt,CPORT,/home/scratch.ykatzav_vlsi/agur/prt/prt_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_rabin_flp/pnr_flow/nv_flow/prt/ipo1020/nbu_signoff,"prt_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap","STA",ykatzav,2025/11/13 18:11:44,/home/agur_backend_blockRelease/block/prt/nbu_signoff_prt_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_rabin_flp_ipo1020_2025_11_13_18_11_44
ccorea,HPORT,/home/scratch.arcohen_vlsi_1/agur/channels/ccorea/ccorea_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_ref_COPY_COPY/pnr_flow/nv_flow/ccorea/ipo1006/nbu_signoff,"ccorea_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR,FE_DCT",arcohen,2025/11/12 23:42:08,/home/agur_backend_blockRelease/block/ccorea/nbu_signoff_ccorea_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_ref_COPY_COPY_ipo1006_2025_11_12_23_42_8
ccoreb,HPORT,/home/scratch.arcohen_vlsi_1/agur/channels/ccoreb/ccoreb_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_ref__copy_COPY/pnr_flow/nv_flow/ccoreb/ipo1005/nbu_signoff,"ccoreb_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR,FE_DCT",arcohen,2025/11/13 17:53:47,/home/agur_backend_blockRelease/block/ccoreb/nbu_signoff_ccoreb_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_ref__copy_COPY_ipo1005_2025_11_13_17_53_47
ccorec,HPORT,/home/scratch.dkolesnikov_vlsi_1/agur/ccorec/1NL/ccorec_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_ref__roi_ref,"ccorec_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL,PNR,FE_DCT",dkolesnikov,2025/11/13 19:00:10,/home/agur_backend_blockRelease/block/ccorec/ccorec_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_ref__roi_ref__2025_11_13_19_0_10
ccored,HPORT,/home/scratch.brachas_vlsi_1/agur/1NL/ccored/ccored_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins_ref_copy,"ccored_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap","STA,FCL",brachas,2025/11/13 15:25:52,/home/agur_backend_blockRelease/block/ccored/ccored_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins_ref_copy__2025_11_13_15_25_52
