# Agur Project - Units Table (All Chiplets)
# Generated: $(date '+%Y-%m-%d %H:%M:%S')
# 
# Format: UNIT | CHIPLET | RELEASED_WA_PATH | RTL_TAG | RELEASE_TYPES | RELEASE_DATE | RELEASE_USER
# -------------------------------------------------------------------------------------------------

fdb | CPORT | /home/scratch.dkolesnikov_vlsi/agur/fdb/1NL/fdb_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap__floorplanChange_run1 | fdb_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FCL,PNR,FE_DCT | 2025-10-09 | dkolesnikov
fth | CPORT | /home/scratch.miancu_vlsi/fth/fth_rbv_2025_09_22_condb_int3_2025_08_27_0_1NL_snap_new_tplanner | fth_rbv_2025_09_22_condb_int3_2025_08_27_0_1NL_snap | STA,FCL,FE_DCT | 2025-10-08 | miancu
lnd | CPORT | /home/scratch.shlomoc_vlsi/agur/lnd/run_29_09_2025_lnd_rbv_2025_09_26_trex_response_tag_065 | lnd_rbv_2025_09_26_trex_response_tag | STA,FCL,FE_DCT | 2025-10-08 | shlomoc
pmux | CPORT | /home/scratch.brachas_vlsi/agur/1NL/pmux/pmux_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_sep10 | pmux_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FCL,PNR,FE_DCT | 2025-10-09 | brachas
prt | CPORT | /home/scratch.ykatzav_vlsi/agur/prt/prt_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap | prt_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FCL | 2025-10-08 | ykatzav
ccorea | HPORT | /home/scratch.roir_vlsi/agur/ccorea/ccorea_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap | ccorea_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-08 | roir
ccoreb | HPORT | /home/scratch.roir_vlsi/agur/ccoreb/ccoreb_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap | ccoreb_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-08 | roir
ccorec | HPORT | /home/scratch.roir_vlsi/agur/ccorec/ccorec_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap | ccorec_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-08 | roir
ccored | HPORT | /home/scratch.sorino_vlsi/ccored/ccored_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins | ccored_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FE_DCT | 2025-10-08 | sorino
ccoree | HPORT | /home/scratch.sorino_vlsi/ccoree/ccoree_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins | ccoree_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FE_DCT | 2025-10-08 | sorino
ccoref | HPORT | /home/scratch.sorino_vlsi/ccoref/ccoref_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap__updated_pins | ccoref_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FE_DCT | 2025-10-08 | sorino
clt | NDQ | /home/scratch.aamsalem_vlsi/agur/clt/1NL/9_9_new_flow/clt_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap_part3 | clt_rbv_2025_09_03_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FCL,PNR | 2025-10-06 | aamsalem
cscore | NDQ | /home/scratch.ynaim_vlsi/agur/1NL/cscore/cscore.cscore_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap_eco_fix | cscore_rbv_2025_09_02_rbv_2025_08_27_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-08 | ynaim
dcmp | NDQ | /home/scratch.rmenasheof_vlsi/agur/dcmp/dcmp_manual_flp_21_9_for_vivid | dcmp_rbv_2025_09_04_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-08 | rmenasheof
fdbm | NDQ | /home/scratch.dkolesnikov_vlsi/agur/fdbm/1NL/fdbm_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap__run1 | fdbm_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap | STA,FCL,PNR,FE_DCT | 2025-10-12 | dkolesnikov
fdbs | NDQ | /home/scratch.brachas_vlsi/agur/1NL/fdbs/fdbs_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap_ctsfix2 | fdbs_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap | STA | 2025-10-07 | brachas
fthm | NDQ | /home/scratch.miancu_vlsi/fthm/fthm_rbv_2025_09_22_condb_int3_2025_08_27_0_1NL_snap_1st_side | fthm_rbv_2025_09_22_condb_int3_2025_08_27_0_1NL_snap | STA,FCL | 2025-10-14 | miancu
