Unit,Chiplet,Release Directory,Age (days),Size,Owner,Release Timestamp,Has Symlinks,Symlink Names,Symlink Owners,Requires Coordination,Recommendation
cscore,NDQ,cscore_rbv_2025_06_09_condb_int2_23_5r1_BE_SFNL_snap_flow_rev13_cts2__2025_9_1_9_17_36,139,143G,ynaim,2025-09-01 09:17:36,Yes,prev_release,ynaim,No,Remove symlinks first
glc,NDQ,glc_rbv_2025_06_18_condb_int2_23_5r1_BE_SFNL_snap_flow_rev13__2025_8_30_20_58_23,140,119G,ynaim,2025-08-30 20:58:23,No,None,None,No,Safe to delete
ir,NDQ,condb_int3_2025_08_27_0_1NL_snap_NF_th__2025_9_22_11_33_43,118,110G,thadad,2025-09-22 11:33:43,Yes,SEP_10,thadad,No,Remove symlinks first
ir,NDQ,condb_int3_2025_08_27_0_1NL_gl__2025_10_15_10_9_33,95,110G,thadad,2025-10-15 10:09:33,Yes,OCT_10,thadad,No,Remove symlinks first
ir,NDQ,condb_int3_2025_08_27_0_1NL_gl__2025_10_8_14_28_30,102,110G,thadad,2025-10-08 14:28:30,Yes,SEP_10_NDQ_V1_GLC,thadad,No,Remove symlinks first
ir,NDQ,condb_int3_2025_08_27_0_1NL_gl__2025_10_20_12_0_9,90,110G,thadad,2025-10-20 12:00:09,Yes,OCT_10_V2,thadad,No,Remove symlinks first
ir,NDQ,ir_rbv_2025_09_12_agur_icg_fanin_fix_th__2025_10_17_16_56_47,92,108G,thadad,2025-10-17 16:56:47,Yes,Test_IR_OCT10,tlevor,Yes,Coordinate with symlink owners first
ir,NDQ,ir_rbv_2025_09_12_agur_icg_fanin_fix_th__2025_9_28_18_44_20,111,108G,thadad,2025-09-28 18:44:20,Yes,"SEP_10_V2,SEP_10_NDQ","thadad,tlevor",Yes,Coordinate with symlink owners first
ir,NDQ,ir_rbv_2025_07_30_agur_TLV__2025_9_1_21_9_43,138,106G,thadad,2025-09-01 21:09:43,No,None,None,No,Safe to delete
psca,NDQ,nbu_signoff_psca_rbv_2025_09_08_agur_condb_int3_2025_08_27_0_1NL_snap_ref_ipo1018_2025_9_21_21_22_43,118,100G,nkahaz,2025-09-21 21:22:43,Yes,prev_SEP_10,nkahaz,No,Remove symlinks first
pscc,NDQ,nbu_signoff_pscc_rbv_2025_09_02_agur_condb_int3_2025_08_27_0_1NL_snap_ipo1000_2025_9_21_15_25_7,119,97G,dtraitelovic,2025-09-21 15:25:07,Yes,prev_SEP_10,dtraitelovic,No,Remove symlinks first
pscc,NDQ,nbu_signoff_pscc_rbv_2025_08_18_agur_condb_int3_2025_07_31_1_1NL_snap_ipo1000_2025_9_10_15_47_21,130,96G,dtraitelovic,2025-09-10 15:47:21,No,None,None,No,Safe to delete
psca,NDQ,psca_rbv_2024_10_08_starling_ROM_update__2024_11_27_16_56_0,416,95G,daltman,2024-11-27 16:56:00,No,None,None,No,Safe to delete
